
 Feature: GGAP | value : 10 |SN: min = 0.9524 & max =  1.0000 |SP: min = 0.9099 & max =  0.9764 |ACC: min = 0.9245 & max =  0.9842 |MCC: min = 0.8271 & max =  0.9654
 Feature: GGAP | value : 11 |SN: min = 0.9574 & max =  1.0000 |SP: min = 0.9352 & max =  0.9685 |ACC: min = 0.9497 & max =  0.9748 |MCC: min = 0.8902 & max =  0.9422
 Feature: GGAP | value : 12 |SN: min = 0.9519 & max =  1.0000 |SP: min = 0.9324 & max =  0.9709 |ACC: min = 0.9464 & max =  0.9686 |MCC: min = 0.8869 & max =  0.9307
 Feature: GGAP | value : 13 |SN: min = 0.9307 & max =  0.9907 |SP: min = 0.9187 & max =  0.9950 |ACC: min = 0.9432 & max =  0.9874 |MCC: min = 0.8832 & max =  0.9728
 Feature: GGAP | value : 14 |SN: min = 0.9412 & max =  0.9909 |SP: min = 0.9256 & max =  0.9763 |ACC: min = 0.9369 & max =  0.9779 |MCC: min = 0.8525 & max =  0.9510
 Feature: GGAP | value : 15 |SN: min = 0.9574 & max =  1.0000 |SP: min = 0.9366 & max =  0.9733 |ACC: min = 0.9465 & max =  0.9811 |MCC: min = 0.8870 & max =  0.9559
 Feature: GGAP | value : 16 |SN: min = 0.9474 & max =  1.0000 |SP: min = 0.9289 & max =  0.9752 |ACC: min = 0.9401 & max =  0.9842 |MCC: min = 0.8582 & max =  0.9668
 Feature: GGAP | value : 17 |SN: min = 0.9495 & max =  1.0000 |SP: min = 0.9279 & max =  0.9771 |ACC: min = 0.9401 & max =  0.9748 |MCC: min = 0.8664 & max =  0.9467
 Feature: GGAP | value : 18 |SN: min = 0.9391 & max =  0.9904 |SP: min = 0.9276 & max =  0.9738 |ACC: min = 0.9432 & max =  0.9780 |MCC: min = 0.8775 & max =  0.9512
 Feature: GGAP | value : 19 |SN: min = 0.9541 & max =  0.9905 |SP: min = 0.9234 & max =  0.9729 |ACC: min = 0.9434 & max =  0.9716 |MCC: min = 0.8775 & max =  0.9381
 Overall |SN: min = 0.9896 & max =  1.0000 |SP: min = 0.9617 & max =  0.9950 |ACC: min = 0.9654 & max =  0.9874 |MCC: min = 0.9242 & max =  0.9728
 Feature: AAC | value : None |SN: min = 0.9722 & max =  0.9921 |SP: min = 0.9364 & max =  0.9665 |ACC: min = 0.9495 & max =  0.9686 |MCC: min = 0.8884 & max =  0.9364
 Feature: PseAAC | value : 1 |SN: min = 0.9474 & max =  1.0000 |SP: min = 0.9087 & max =  0.9643 |ACC: min = 0.9243 & max =  0.9686 |MCC: min = 0.8358 & max =  0.9268
 Feature: PseAAC | value : 2 |SN: min = 0.9651 & max =  1.0000 |SP: min = 0.9139 & max =  0.9713 |ACC: min = 0.9401 & max =  0.9748 |MCC: min = 0.8729 & max =  0.9450
 Feature: PseAAC | value : 3 |SN: min = 0.9490 & max =  1.0000 |SP: min = 0.9282 & max =  0.9717 |ACC: min = 0.9432 & max =  0.9716 |MCC: min = 0.8715 & max =  0.9411
 Feature: PseAAC | value : 4 |SN: min = 0.9490 & max =  0.9895 |SP: min = 0.9095 & max =  0.9680 |ACC: min = 0.9306 & max =  0.9685 |MCC: min = 0.8554 & max =  0.9282
 Feature: PseAAC | value : 5 |SN: min = 0.9406 & max =  1.0000 |SP: min = 0.9091 & max =  0.9764 |ACC: min = 0.9274 & max =  0.9842 |MCC: min = 0.8433 & max =  0.9654
 Feature: PseAAC | value : 6 |SN: min = 0.9310 & max =  1.0000 |SP: min = 0.9304 & max =  0.9615 |ACC: min = 0.9432 & max =  0.9748 |MCC: min = 0.8691 & max =  0.9468
