
 Feature: GGAP | value : 10 |SN: min = 0.9412 & max =  1.0000 |SP: min = 0.9352 & max =  0.9766 |ACC: min = 0.9495 & max =  0.9842 |MCC: min = 0.8861 & max =  0.9651
 Feature: GGAP | value : 11 |SN: min = 0.9259 & max =  1.0000 |SP: min = 0.9361 & max =  0.9644 |ACC: min = 0.9464 & max =  0.9748 |MCC: min = 0.8809 & max =  0.9424
 Feature: GGAP | value : 12 |SN: min = 0.9570 & max =  1.0000 |SP: min = 0.9242 & max =  0.9755 |ACC: min = 0.9432 & max =  0.9811 |MCC: min = 0.8806 & max =  0.9589
 Feature: GGAP | value : 13 |SN: min = 0.9364 & max =  1.0000 |SP: min = 0.9202 & max =  0.9730 |ACC: min = 0.9338 & max =  0.9779 |MCC: min = 0.8424 & max =  0.9488
 Feature: GGAP | value : 14 |SN: min = 0.9457 & max =  0.9823 |SP: min = 0.9206 & max =  0.9817 |ACC: min = 0.9308 & max =  0.9748 |MCC: min = 0.8503 & max =  0.9409
 Feature: GGAP | value : 15 |SN: min = 0.9298 & max =  1.0000 |SP: min = 0.9360 & max =  0.9731 |ACC: min = 0.9338 & max =  0.9811 |MCC: min = 0.8580 & max =  0.9567
 Feature: GGAP | value : 16 |SN: min = 0.9434 & max =  1.0000 |SP: min = 0.9342 & max =  0.9808 |ACC: min = 0.9464 & max =  0.9748 |MCC: min = 0.8815 & max =  0.9441
 Feature: GGAP | value : 17 |SN: min = 0.9362 & max =  0.9914 |SP: min = 0.9349 & max =  0.9764 |ACC: min = 0.9495 & max =  0.9716 |MCC: min = 0.8876 & max =  0.9361
 Feature: GGAP | value : 18 |SN: min = 0.9459 & max =  1.0000 |SP: min = 0.9420 & max =  0.9703 |ACC: min = 0.9495 & max =  0.9748 |MCC: min = 0.8844 & max =  0.9465
 Feature: GGAP | value : 19 |SN: min = 0.9439 & max =  1.0000 |SP: min = 0.9414 & max =  0.9896 |ACC: min = 0.9495 & max =  0.9874 |MCC: min = 0.8787 & max =  0.9736
 Overall |SN: min = 0.9823 & max =  1.0000 |SP: min = 0.9541 & max =  0.9896 |ACC: min = 0.9653 & max =  0.9874 |MCC: min = 0.9228 & max =  0.9736
