,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13
20,ARU07601@H,35.627907228497854,17.081873328731845,43.4367636073467,22.450462089190427,19.034087423444056,22.93851561286848,18.546033899766005,36.604014275853956,8.296909902526897,37.09206779953201,48.80535236780528,20.986301518156267,7.3208028551707915,28.79515789700511,18.546033899766005,53.6858876045858,44.4128706547028,5.3685887604585805,25.378783231258744,57.102262270332176,0.041169798772381264,0.04130859205382341,0.03745236997409096,0.03979617278233396,0.039392984501396534,0.040386967989117006,0.0382812996603689,0.038911319481336165,0.03880079192401946,0.03890669025141541,0.039571182272257054,0.03898958994218572,0.03897871671722141
21,ARU07568@H,39.922247913278916,17.79666473242554,55.313957952133435,32.22639289385165,26.45450162928121,25.0115288131386,21.16360130342497,41.36522072942153,8.176845958141465,36.07432040356529,60.60485827798968,27.89747444542382,10.10080971299828,35.11233852613688,27.89747444542382,51.947021381134014,44.73215730042096,6.733873141998854,37.517293219707895,47.13711199399197,0.040507507772150696,0.040574260280354706,0.04002292792524265,0.04085475484124925,0.039245336626794726,0.03905946348497803,0.039761837671159,0.039339650001250406,0.04054360396870771,0.03867864969059799,0.039704787908855274,0.040421742612654486,0.040294538501801175
22,ARU07594@H,37.85594035249613,19.17378797074479,54.57155037827364,27.531592983633548,22.12360150470553,27.531592983633548,13.765796491816774,39.822482708469956,12.290889724836406,39.822482708469956,64.40426215814276,22.12360150470553,5.899627067921474,36.38103358551576,23.598508271685898,66.37080451411659,50.63846566632599,6.391262656914931,33.43122005155502,60.96281303518857,0.04079037823359935,0.03988653905294888,0.037365046775477764,0.03918274193088094,0.03903477684953015,0.03945123898887322,0.03886028606780683,0.03815149703295548,0.039776856153478445,0.03828804457812135,0.038491917047194416,0.03996909926712336,0.039115989028553746
23,APT69890@H,36.499825353417194,18.006580507685815,44.2864547621462,21.413230874004753,18.979909183776943,22.38655955009588,18.979909183776943,36.499825353417194,7.786629408729001,36.98648969146276,48.66643380455626,19.466573521822504,6.8133007326378765,28.713195944688195,18.49324484573138,52.0730841708752,44.2864547621462,5.353307718501188,26.766538592505942,57.42639188937639,0.041314261111789576,0.041572986868434,0.03747879306703821,0.03973266983143629,0.039519116968583214,0.04050589274004083,0.038453387293438175,0.0389853096356023,0.03887114587680464,0.03904672028120603,0.03963394913534357,0.03893733319552694,0.03928409594919363
24,APT69883@H,35.582333094320774,17.060022716455165,43.381200621843135,22.42174414162679,19.009739598335756,22.909173362096936,18.522310377865608,36.55719153526107,8.286296747992509,37.044620755731216,48.74292204701476,21.446885700686494,7.311438307052214,28.758324007738707,18.522310377865608,53.617214251716234,43.86862984231328,5.361721425171623,25.346319464447674,57.02921879500727,0.041198857683657324,0.04138815456913057,0.03757661504003361,0.039836826314453434,0.039398676287219304,0.040443983565615724,0.038242356334985,0.03899022120657874,0.03880878705502181,0.039025694971323556,0.039617989365785304,0.038999518597861674,0.039043098538186514
25,APT69869@H,36.162735396700874,17.10399647141258,43.98170521220377,21.502166992632954,19.0587389252883,22.968223833039747,18.57005331181937,37.14010662363874,8.307655428971824,36.651421010169805,49.357246960362005,21.013481379164023,6.841598588565031,28.343765581197985,18.57005331181937,53.755417481582384,44.95907643914163,5.375541748158239,25.4116519003844,57.1762167758649,0.04101613718070725,0.041218705140538436,0.037335001408771044,0.03963295922972434,0.0393459379327936,0.04036332923898373,0.03815874754200028,0.039148240919681006,0.038804137896721644,0.03884628467954794,0.03938390874889053,0.038969529109597466,0.03909146750311191
26,APT69849@H,35.66025786423785,17.097383907511297,43.47620479338587,22.47084742130056,19.0513706397983,22.959344104372313,18.562873956726552,36.63725123038135,8.304443612219773,37.125747913453104,48.84966830717513,20.516860689013555,7.815946929148021,28.82130430123333,18.562873956726552,53.734635137892646,44.45319815952937,5.373463513789265,25.401827519731068,57.15411191939491,0.04122411673997659,0.04123754676961235,0.0376084572806365,0.039737250321728715,0.039389110573272844,0.04032098395424954,0.03818181296104151,0.038851266621152986,0.03879624381102072,0.03880899799855186,0.03953657518808431,0.03893871404993394,0.03887224065898673
27,APT69876@H,36.99021023892473,18.008391826844935,43.80419633556876,21.41538487516695,18.981818412079797,22.38881146040181,18.981818412079797,36.5034969463073,7.787412681878892,36.99021023892473,48.67132926174307,19.468531704697227,6.81398609664403,28.716084264428414,18.495105119462366,52.07832231006508,44.77762292080362,5.3538462187917375,26.76923109395869,56.9454552362394,0.04125182850540507,0.04160484322405088,0.03745528466603785,0.039717924932176366,0.03950336846320306,0.040556547276369634,0.03839032366618556,0.0389845730408907,0.03893729731443317,0.03906315484680385,0.03964278068366851,0.038895266231071784,0.03928351453227292
28,APT69862@H,36.162735396700874,17.10399647141258,43.98170521220377,21.502166992632954,19.0587389252883,22.968223833039747,18.57005331181937,37.14010662363874,8.307655428971824,36.651421010169805,49.357246960362005,21.013481379164023,6.841598588565031,28.343765581197985,18.57005331181937,53.755417481582384,44.95907643914163,5.375541748158239,25.4116519003844,57.1762167758649,0.04101613718070725,0.041218705140538436,0.037335001408771044,0.03963295922972434,0.0393459379327936,0.04036332923898373,0.03815874754200028,0.039148240919681006,0.038804137896721644,0.03884628467954794,0.03938390874889053,0.038969529109597466,0.03909146750311191
29,APU51916@H,39.922247913278916,17.79666473242554,55.313957952133435,32.22639289385165,26.45450162928121,25.0115288131386,21.16360130342497,41.36522072942153,8.176845958141465,36.07432040356529,60.60485827798968,27.89747444542382,10.10080971299828,35.11233852613688,27.89747444542382,51.947021381134014,44.73215730042096,6.733873141998854,37.517293219707895,47.13711199399197,0.040507507772150696,0.040574260280354706,0.04002292792524265,0.04085475484124925,0.039245336626794726,0.03905946348497803,0.039761837671159,0.039339650001250406,0.04054360396870771,0.03867864969059799,0.039704787908855274,0.040421742612654486,0.040294538501801175
30,APU51926@H,39.922247913278916,17.79666473242554,55.313957952133435,32.22639289385165,26.45450162928121,25.0115288131386,21.16360130342497,41.36522072942153,8.176845958141465,36.07432040356529,60.60485827798968,27.89747444542382,10.10080971299828,35.11233852613688,27.89747444542382,51.947021381134014,44.73215730042096,6.733873141998854,37.517293219707895,47.13711199399197,0.040507507772150696,0.040574260280354706,0.04002292792524265,0.04085475484124925,0.039245336626794726,0.03905946348497803,0.039761837671159,0.039339650001250406,0.04054360396870771,0.03867864969059799,0.039704787908855274,0.040421742612654486,0.040294538501801175
31,APU51936@H,39.89300052585167,17.783626740439903,55.273434463529426,32.20278355701279,26.43512083038364,24.99320514872635,21.14809666430691,41.33491620750896,8.170855529391305,36.047892041432235,60.56045862960615,27.877036512040927,10.093409771601026,35.567253480879806,27.877036512040927,51.428325979109985,44.69938613137597,6.728939847734017,37.48980772308952,47.102578934138116,0.040498096254911596,0.0406450296755182,0.04005315572416518,0.04089947800459462,0.039221826738025885,0.039147836606647717,0.0398403757692547,0.039408525445773286,0.04049594740691742,0.03870773073888693,0.03969143188118548,0.04051470908209536,0.04023729611959393
32,ARB07433@H,39.89078288256418,17.78263815246837,54.78974998328092,32.200993411226506,26.433651307723252,24.99181578184744,21.1469210461786,41.33261840843999,8.651013155254882,36.52649998885395,60.076480244825575,28.35609867555767,10.092848681130697,35.56527630493674,27.875486833599066,51.42546708957069,45.17751314410883,6.7285657874204645,37.007111830812555,46.619348669984646,0.040479034584187425,0.04068234963133903,0.04036974390333108,0.04086334325158185,0.03935914127926041,0.03912608995551603,0.039537021915237676,0.03923784821680216,0.04051769569388871,0.038890435924431845,0.039773822940495904,0.040304969647243734,0.04024666109807972
33,ARB07425@H,35.80927651069134,19.35636568145478,44.03573192530962,22.259820533672993,18.87245653941841,21.775911391636626,18.388547397382037,36.777094794764075,6.774727988509173,35.325367368654966,49.35873248770968,18.87245653941841,7.258637130545542,28.550639380145796,17.90463825534567,52.74609648196427,44.03573192530962,5.323000562400064,25.647184527927582,57.10127876029159,0.04140465682503303,0.04127624745308585,0.03809923303291201,0.04021699520087521,0.039611461127809465,0.04094773843842008,0.038394592060833226,0.03912159547968555,0.03915224205190459,0.0392599759017879,0.04013441026080868,0.03896930317608642,0.03950240695438845
34,ARE29973@H,37.17285575443346,20.542893969555333,56.248400154734846,27.390525292740445,22.010243538809288,28.368758338909746,14.673495692539525,40.59667141602602,9.782330461693016,38.64020532368742,64.5633810471739,20.542893969555333,5.86939827701581,37.17285575443346,22.98847658497859,62.606914954835304,51.84635144697299,6.358514800100461,34.238156615925554,61.628681908666,0.041077162759001806,0.03988196379241106,0.03750438891016877,0.039311506911538584,0.03926108616352095,0.03997994180739281,0.038915627864763824,0.03841757257844713,0.040105862409812655,0.038831551016573124,0.03852237098119721,0.039991083056235804,0.039083358664285604
35,ARB07608@H,28.974950823626422,17.384970494175853,55.53532241195064,32.3553617530495,27.04328743538466,18.833718035357172,18.833718035357172,35.252856835412146,13.03872787063189,38.633267764835225,64.22780765903856,28.974950823626422,6.277906011785724,43.46242623543963,24.628708200082457,74.85195629436825,41.53076284719787,7.2437377059066055,35.252856835412146,42.49659454131875,0.03939726690129115,0.04073813340665938,0.04076159436630322,0.040775242643718505,0.039099566506435285,0.03938297749364986,0.03897380269445564,0.03885771688736027,0.03954850714786721,0.03848326089083012,0.04034269549571278,0.03954328716037791,0.041180101344898135
36,ARA15421@H,39.914022353154856,17.79299791646662,55.302561091720584,32.21975298387199,26.449050956909844,25.006375450169305,21.159240765527873,41.35669785989539,8.175161204863043,36.066887668513424,61.07326311868273,27.89172646365038,10.09872854718376,35.10510399735306,27.4108346280702,51.936318242659326,44.72294070895664,6.732485698122505,37.50956317525396,47.12739988685754,0.040547081786483474,0.040545406607770555,0.04005446667577512,0.04084532155365866,0.039295626828859856,0.03905661232081573,0.039781028521922245,0.0393277445339847,0.0404935305684014,0.03870135230981462,0.03971104855897625,0.04038842097346662,0.040360523179891875
37,ARB07599@H,28.974950823626422,17.384970494175853,55.53532241195064,32.3553617530495,27.04328743538466,18.833718035357172,18.833718035357172,35.252856835412146,13.03872787063189,38.633267764835225,64.22780765903856,28.974950823626422,6.277906011785724,43.46242623543963,24.628708200082457,74.85195629436825,41.53076284719787,7.2437377059066055,35.252856835412146,42.49659454131875,0.03939726690129115,0.04073813340665938,0.04076159436630322,0.040775242643718505,0.039099566506435285,0.03938297749364986,0.03897380269445564,0.03885771688736027,0.03954850714786721,0.03848326089083012,0.04034269549571278,0.03954328716037791,0.041180101344898135
38,ARB07438@H,29.995289010692005,17.90041440960652,59.02298805329717,30.479083994735422,27.09251910643149,19.351799361736777,19.351799361736777,35.80082881921304,10.159694664911807,43.541548563907746,62.409552941601106,26.124929138344648,6.773129776607872,44.02534354795117,26.124929138344648,74.50442754268659,37.73600875538671,7.740719744694711,32.89805891495252,43.057753579864325,0.03909861259805052,0.04071569847823818,0.03992594119952333,0.040208519521079206,0.039730887841319305,0.039725951541864556,0.03877040216571127,0.038920530619006986,0.0394150310704696,0.03866213905824762,0.04009797838708066,0.04066022828514451,0.04027309519084478
39,ARB07617@H,28.974950823626422,17.384970494175853,55.53532241195064,32.3553617530495,27.04328743538466,18.833718035357172,18.833718035357172,35.252856835412146,13.03872787063189,38.633267764835225,64.22780765903856,28.974950823626422,6.277906011785724,43.46242623543963,24.628708200082457,74.85195629436825,41.53076284719787,7.2437377059066055,35.252856835412146,42.49659454131875,0.03939726690129115,0.04073813340665938,0.04076159436630322,0.040775242643718505,0.039099566506435285,0.03938297749364986,0.03897380269445564,0.03885771688736027,0.03954850714786721,0.03848326089083012,0.04034269549571278,0.03954328716037791,0.041180101344898135
40,ARB07414@H,39.93724257973841,17.32217750446485,54.85356209747203,32.23849702219847,26.46443785404352,25.020923062004783,21.17155028323482,41.38075737177714,8.17991715488618,36.56904139831469,61.108792862973225,28.389124243428505,10.104603544271162,35.606698203622194,27.90795264608226,50.523017721355814,45.71130174789336,6.736402362847442,37.531384593007175,46.673644942585845,0.04072334387449935,0.040648001218228674,0.0402458291552392,0.04079908822288713,0.039288759696360316,0.03900256151047477,0.03961825911849969,0.03925626080011324,0.04025982639949617,0.03882591854116829,0.03970295289600591,0.040363109076490516,0.04009449214429085
41,ARB07406@H,37.778787156984684,19.62534397765438,55.93223033631498,28.45674876759885,22.078511974861176,28.45674876759885,14.228374383799425,39.25068795530876,10.793939187709908,38.7600543558674,64.76363512625946,21.097244775978456,5.8876031932963135,37.288153557543325,23.059779173743895,63.29173432793537,51.516527941342744,6.378236792737673,34.34435196089517,62.310467129052654,0.04085170453338674,0.03980731954468379,0.03769272613518106,0.03915856505911921,0.03913007422166385,0.039794290973022714,0.0387362317424237,0.03832641548765378,0.03973810024965326,0.038803904981613645,0.038562425736376284,0.03980675471726779,0.03895788717659475
42,ARK08620@H,35.755164334180684,16.653090237837578,43.59191268139836,22.53065149825084,19.102074096343102,23.020448269951945,18.612277324641997,36.734757877582894,8.816341890619894,36.734757877582894,48.97967717011052,21.061261183147526,7.346951575516578,28.898009530365208,18.612277324641997,54.36744165882268,45.06130299650168,5.387764488712158,24.979635356756365,57.306222289029314,0.04087983326587123,0.041074581049062704,0.0373384965762818,0.03984264769560313,0.03925822239716997,0.04019541902643142,0.03809485437358787,0.03885330646809751,0.03868691486810024,0.038709792592419065,0.03949868725602461,0.03882916103663222,0.0389413116936131
43,ARE29961@H,37.78402992252499,19.628067492220772,55.939992352829194,27.969996176414597,22.081575928748368,28.460697863720117,14.230348931860059,39.74683667174706,10.795437120721424,38.76543329713602,64.77262272432854,21.100172554137327,5.8884202476662315,37.29332823521946,23.062979303359405,63.300517662411984,51.523677167079526,6.37912193497175,34.349118111386346,62.31911428780095,0.04086628922749867,0.03978146550837171,0.0376265770106889,0.039135035810922,0.03904186529212825,0.039752159824181954,0.0388619434540504,0.03831521363858857,0.03980325305700546,0.038783907932942,0.038550505917414234,0.03984029604931398,0.03893979997137436
44,ARE29990@H,39.93724257973841,17.32217750446485,54.85356209747203,32.23849702219847,26.46443785404352,25.020923062004783,21.17155028323482,41.38075737177714,8.17991715488618,36.56904139831469,61.108792862973225,28.389124243428505,10.104603544271162,35.606698203622194,27.90795264608226,50.523017721355814,45.71130174789336,6.736402362847442,37.531384593007175,46.673644942585845,0.04072334387449935,0.040648001218228674,0.0402458291552392,0.04079908822288713,0.039288759696360316,0.03900256151047477,0.03961825911849969,0.03925626080011324,0.04025982639949617,0.03882591854116829,0.03970295289600591,0.040363109076490516,0.04009449214429085
