,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1
0,ACJ35486@H,74.79649239470527,33.242885508757894,103.42231047169123,62.79211707209825,51.71115523584562,48.01750129042807,38.783366426884214,85.8774542309579,15.698029268024563,69.25601147657895,117.27351276700702,49.86432826313685,19.391683213442107,63.715530558452635,50.78774174949123,104.34572395804562,93.26476212179298,13.85120229531579,68.33259799022457,94.18817560814738,0.076586513645614
1,ATP16757@H,76.56947637103954,33.210857221173775,106.09023834541622,62.731619195550465,49.816285831760666,47.04871439666285,39.668523903068674,83.02714305293443,13.837857175489074,70.11180968914464,117.1605240858075,53.50638107855775,19.3730000456847,65.49919063064829,51.66133345515921,99.63257166352133,84.87219067633299,12.915333363789802,71.95685731254318,92.25238116992716,0.07747618830072849
2,ATP16767@H,77.46468120090414,34.121347671826825,103.28624160120553,61.7873052435783,49.79872362915266,47.954326457702564,38.73234060045207,84.84226988670454,13.83297878587574,71.0092911008288,117.11922038708127,55.33191514350296,20.288368885951087,65.4760995864785,52.565319386327815,101.44184442975542,86.68666705815464,12.910780200150691,71.0092911008288,90.37546140105484,0.07780141427495071
3,AFR79257@H,69.07997473577544,36.842653192413565,83.81703601274086,42.3690511712756,35.92158686260323,41.44798484146526,35.00052053279288,70.00104106558577,12.894928617344748,67.23784207615475,93.94876564065459,35.92158686260323,13.815994947155087,55.26397978862035,34.07945420298255,99.47516361951662,83.81703601274086,10.13172962791373,48.816515479947974,107.76476058780968,0.07893367018966102
4,AFR79250@H,67.26246387188756,35.93474097265226,83.8477289361886,43.30596989011939,35.93474097265226,41.46316266075261,35.01333735796887,69.10527110125435,13.821054220250868,68.18386748657096,93.06176508302252,36.85614458733565,12.899650605567478,54.36281326632009,34.09193374328548,100.43299400048964,84.769132550872,10.135439761517304,48.83439157821974,108.72562653264018,0.07859638531660866
5,AGN52936@H,81.02865566810318,40.51432783405159,70.90007370959029,60.771491751077384,38.67276747795834,65.37539264131053,42.355888190144846,84.71177638028969,19.33638373897917,68.1377331754504,110.49362136559525,46.95978908037798,19.33638373897917,65.37539264131053,57.08837103889088,123.38454385824802,84.71177638028969,9.207801780466271,69.97929353154366,87.47411691442957,0.07921982195337285
6,AID55066@H,80.9953181600563,42.33846176548398,70.87090339004926,60.74648862004222,38.65685639457232,64.42809399095387,42.33846176548398,84.67692353096795,18.40802685455825,67.18929801913761,110.4481611273495,46.94046847912354,19.32842819728616,65.34849533368178,57.064883249130574,123.33377992554027,84.67692353096795,9.204013427279126,69.95050204732135,88.3585289018796,0.07959865727208752
7,AID55067@H,80.9953181600563,42.33846176548398,70.87090339004926,60.74648862004222,38.65685639457232,64.42809399095387,42.33846176548398,84.67692353096795,18.40802685455825,67.18929801913761,110.4481611273495,46.94046847912354,19.32842819728616,65.34849533368178,57.064883249130574,123.33377992554027,84.67692353096795,9.204013427279126,69.95050204732135,88.3585289018796,0.07959865727208752
8,ASU45807@H,80.09301935087166,41.42742380217499,69.96631575478443,60.76022157652333,38.665595548696665,64.44265924782778,42.348033220001106,84.69606644000221,19.332797774348332,67.2044875013061,110.47313013913332,46.95108030913166,19.332797774348332,66.28387808347999,57.07778390521888,125.2028808243511,84.69606644000221,9.20609417826111,69.96631575478443,87.45789469348054,0.07939058217388893
9,ALJ53431@H,71.05521802203891,36.91180156989034,105.19863447418747,51.67652219784648,41.52577676612663,53.522112276341,26.7610561381705,75.6691932182752,20.30149086343969,72.90080810053342,123.65453525913264,39.680186687632116,11.073540470967103,71.05521802203891,42.448571805373895,119.04056006289635,96.89347912096216,11.996335510214362,64.5956527473081,115.34937990590733,0.07720496075274134
10,AOG74783@H,69.14135100063002,35.031617840319214,82.96962120075604,42.406695280386415,35.95350252032761,42.406695280386415,35.031617840319214,69.14135100063002,13.828270200126004,69.14135100063002,92.18846800084003,36.875387200336014,12.906385520117604,55.31308080050402,35.031617840319214,99.56354544090723,84.81339056077283,10.140731480092404,48.85988804044522,108.78239224099124,0.07811531999159957
11,ARK08679@H,75.63026064513386,34.12584931548723,106.06682895354137,61.79545686858498,50.72761384734588,47.960653092036104,40.582091077876704,79.31954165221356,15.679444280088726,69.17401888274438,116.21235172301056,53.49457460265565,19.368725287168427,67.32937837920453,53.49457460265565,100.53290744292183,85.77578341460303,12.912483524778951,71.94097963805416,90.38738467345266,0.07767974823007501
12,ARU07610@H,76.55295654715535,34.12601677403311,106.06734943280561,61.79576010433022,50.72786277221138,47.960888439181666,40.5822902177691,79.31993088018507,15.679521220501698,69.17435832574279,116.21292198724788,53.49483710524109,19.36882033120798,67.32970877038964,53.49483710524109,99.61107598906962,85.77620432392105,12.912546887471986,71.9413326587725,90.38782821230392,0.07767522232342951
13,ARK08670@H,77.45517748638969,34.11716151186213,102.35148453558638,61.779724899858444,49.79261409839337,47.948443205860286,38.72758874319484,84.83186105652204,13.831281693998159,71.00057936252388,117.10485167585108,55.325126775992636,20.285879817863968,65.46806668492462,51.63678499092646,102.35148453558638,87.59811739532168,12.909196247731614,71.00057936252388,90.3643737341213,0.07791455373345611
14,ARK08627@H,70.11184166647217,38.74601776305042,106.09028673216184,51.661357017400555,41.51359046041116,53.50640548230771,27.67572697360744,76.56951129364725,18.450484649071626,72.87941436383292,121.77319868387274,38.74601776305042,11.070290789442975,70.11184166647217,43.358638925318324,118.0831017540584,97.78756864007961,11.992815021896556,64.57669627175069,116.23805328915124,0.07747576754641876
15,ARK08635@H,76.5458838158411,33.20062430566602,106.057549865322,61.79005079110064,50.7231760225453,47.956457330406465,40.578540818036245,79.31260250797993,15.67807258878673,69.16796730347087,118.9689037619699,53.489894714684134,19.367030844971843,68.2457277394246,51.64541558659158,99.60187291699805,86.69051902035015,12.911353896647896,71.01244643156342,89.45723771248899,0.07776043595372187
16,ARK08642@H,67.31568045349803,32.27464131332097,82.06980219673048,42.41810001179328,35.96317174912908,43.340232620745304,35.041039140177055,69.15994567140208,15.676254352184472,70.08207828035411,93.1353935041548,39.65170218493719,13.831989134280416,54.40582392816964,35.041039140177055,100.51245437577103,83.91406741463453,10.143458698472305,47.95089566550544,107.88951524738725,0.07786739104797219
17,ARK08651@H,76.55272047807011,34.125911538416794,106.98934428260401,61.79556954253852,50.72770634088983,47.96074054047766,40.58216507271187,79.31968627848228,15.679472869002312,69.17414501030431,116.21256361731125,53.494672141302004,19.36876060288521,67.32950114336286,53.494672141302004,98.6884468813675,85.77593981277735,12.91250706859014,71.9411108107165,90.38754948013097,0.07767806652927568
18,ARK08661@H,76.55726986821789,34.12793957980797,105.15094897562456,61.79924194181444,50.73072099701185,47.96359076081121,40.58457679760948,79.32440010441853,15.680404671803663,69.17825590501616,116.21946992042714,53.4978512332125,19.369911653404525,67.33350241421573,53.4978512332125,100.53906524862349,85.78103732222004,12.913274435603016,71.9453861412168,90.39292104922112,0.07762325459978446
19,ARU07587@H,76.55295654715535,34.12601677403311,106.06734943280561,61.79576010433022,50.72786277221138,47.960888439181666,40.5822902177691,79.31993088018507,15.679521220501698,69.17435832574279,116.21292198724788,53.49483710524109,19.36882033120798,67.32970877038964,53.49483710524109,99.61107598906962,85.77620432392105,12.912546887471986,71.9413326587725,90.38782821230392,0.07767522232342951
20,ARU07601@H,67.32112081442648,32.27724970554694,82.07643496553365,42.42152818443312,35.966078243323736,43.34373531887732,35.043871108879536,69.16553508331488,15.677521285551371,70.08774221775907,92.22071344441983,39.65490678110053,13.833107016662975,54.4102209322077,35.043871108879536,101.44278478886181,83.92084923442205,10.144278478886182,47.954770991098314,107.89823472997121,0.07779286555580162
21,ARU07568@H,76.55295654715535,34.12601677403311,106.06734943280561,61.79576010433022,50.72786277221138,47.960888439181666,40.5822902177691,79.31993088018507,15.679521220501698,69.17435832574279,116.21292198724788,53.49483710524109,19.36882033120798,67.32970877038964,53.49483710524109,99.61107598906962,85.77620432392105,12.912546887471986,71.9413326587725,90.38782821230392,0.07767522232342951
22,ARU07594@H,71.10085285594698,36.01212027768744,102.49603463649501,51.709711167961444,41.55244647425474,51.709711167961444,25.854855583980722,74.79440365365852,23.084692485697072,74.79440365365852,120.96378862505267,41.55244647425474,11.080652393134596,68.33068975766334,44.32260957253838,124.6573394227642,95.10893304107195,12.004040092562478,62.790363561096044,114.50007472905749,0.07661230057211711
23,APT69890@H,69.13125912995433,34.1047545041108,83.87926107767791,40.55700535623987,35.94825474757625,42.40050559970532,35.94825474757625,69.13125912995433,14.748001947723589,70.05300925168704,92.17501217327244,36.87000486930897,12.90450170425814,54.383257182230736,35.02650462584352,98.6272630254015,83.87926107767791,10.139251339059967,50.69625669529984,108.76651436446147,0.07824987826727574
24,APT69883@H,67.31071345772908,32.272259876993395,82.06374654435463,42.41497012404846,35.96051814864978,43.33703469196256,35.038453580735684,69.15484259355728,15.675097654539648,70.07690716147137,92.20645679140969,40.57084098822027,13.830968518711455,54.40180950693172,35.038453580735684,101.42710247055066,82.98581111226873,10.142710247055067,47.947357531533044,107.88155444594935,0.07793543208590309
25,APT69869@H,68.26999410960997,32.28986207886958,83.03107391709321,40.5929694705789,35.980132030740386,43.360671934482006,35.05756454277269,70.11512908554538,15.683647295450939,69.19256159757767,93.17931628473792,39.670401982611196,12.915944831547831,53.50891430212673,35.05756454277269,101.48242367644725,84.8762088930286,10.148242367644725,47.973509374320514,107.94039609222116,0.07743251203229769
26,APT69849@H,67.31896855270196,32.27621779924067,82.07381097521198,42.4201719647163,35.96492840486817,43.34234961612318,35.0427507534613,69.16332385551571,15.677020073916895,70.0855015069226,92.21776514068762,38.7314613590888,14.75484242251002,54.4084814330057,35.0427507534613,101.43954165475638,83.91816627802574,10.143954165475638,47.95323787315756,107.89478521460451,0.0778223485931237
27,APT69876@H,70.06184454051962,34.10905589472666,82.96797379798376,40.562120523458724,35.952788645792964,42.40585327452503,35.952788645792964,69.13997816498646,14.749862008530446,70.06184454051962,92.18663755331528,36.87465502132611,12.90612925746414,54.39011615645602,35.03092227025981,98.63970218204736,84.81170654905006,10.140530130864681,50.702650654323406,107.85836593737888,0.07813362446684705
